unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,compact_idle_pressure
1786592393,3304464,14240,83886080,19904856064,1918,0,128,128,97,5.6,592601,2155872256,570425344,33554432,6816082,150445,18964,0,56109864,0
1786592403,3304724,14240,83886080,19904856064,1918,0,132,132,78,5.7,585217,2155872256,570425344,33554432,6816082,157859,18964,0,56377104,0
1786592414,3305188,14240,83886080,19904856064,1918,0,132,132,90,5.6,592226,2155872256,570425344,33554432,6816082,159338,18964,0,56434744,0
1786592424,3305336,14240,83886080,19904856064,1918,0,132,132,108,5.6,590999,2155872256,570425344,33554432,6816082,163293,18964,0,56587752,0
1786592434,3306492,14240,83886080,19904856064,1917,0,136,136,86,5.6,585222,2155872256,570425344,33554432,6816082,186417,18964,0,57771992,0
1786592444,3306596,14240,83886080,19904856064,1917,0,136,136,99,5.6,587754,2155872256,570425344,33554432,6816082,188330,18964,0,57880984,0
1786592455,3308048,14240,83886080,19904856064,1917,0,136,136,118,5.6,588475,2155872256,570425344,33554432,6816082,192544,18964,0,58508736,0
1786592465,3319424,14240,83886080,19921649664,1917,0,140,140,91,5.6,585224,2168455168,570425344,33554432,6816082,222402,18980,0,74353448,0
1786592475,3304928,14240,83886080,19925843968,1917,0,140,140,110,5.6,587955,2155872256,570425344,33554432,6816082,226149,18984,0,76287008,0
1786592486,3305492,14240,83886080,19925843968,1917,0,140,140,123,5.5,592410,2155872256,570425344,33554432,6816082,227301,18984,0,76865504,0
1786592496,3309824,14240,83886080,19930038272,1916,0,144,144,85,5.5,585274,2157969408,570425344,33554432,6816082,239792,18988,0,83395592,0
1786592506,3305820,14240,83886080,19934248960,1916,0,144,144,106,5.5,585109,2155872256,570425344,33554432,6816082,244163,18992,0,85590104,0
