unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb
1786085172,1999364,14240,83886080,11882684416,1679,0,566,566,38,7.8,611738
1786085182,1998468,14240,83886080,11883732992,1679,0,571,571,41,7.8,609747
1786085192,1998096,14240,83886080,11887935488,1679,0,578,578,35,7.8,613335
1786085202,1999760,14240,83886080,11887935488,1679,0,583,583,42,7.8,615130
1786085213,1998468,14240,83886080,11892129792,1679,0,591,591,33,7.8,621840
1786085223,2000696,14240,83886080,11895275520,1678,0,595,595,43,7.8,617911
1786085233,2000364,14240,83886080,11896324096,1678,0,603,603,30,7.8,621282
1786085243,1999008,14240,83886080,11900526592,1678,0,608,608,37,7.8,617905
1786085253,1999628,14240,83886080,11903676416,1678,0,615,615,34,7.8,621357
1786085263,2000052,14240,83886080,11904729088,1678,0,621,620,42,7.8,617886
1786085273,2000756,14240,83886080,11904729088,1678,0,624,624,48,7.8,619009
1786085283,2000804,14240,83886080,11904729088,1678,0,624,624,61,7.8,624655
1786085294,1999188,14240,83886080,11907874816,1677,0,629,629,55,7.8,617929
1786085304,2000584,14240,83886080,11908923392,1677,0,636,636,38,7.8,620558
1786085314,2000428,14240,83886080,11913117696,1677,0,641,641,43,7.8,621360
1786085324,1999944,14240,83886080,11914166272,1677,0,649,649,33,7.8,617929
1786085334,1999776,14240,83886080,11917320192,1677,0,654,654,41,7.8,618054
1786085344,1999720,14240,83886080,11920470016,1676,0,661,661,37,7.8,619036
1786085354,2000364,14240,83886080,11921522688,1676,0,668,668,33,7.8,620769
1786085365,1999000,14240,83886080,11925716992,1676,0,674,674,36,7.8,622384
1786085375,1999512,14240,83886080,11927814144,1676,0,681,681,35,7.8,619637
1786085385,1999828,14240,83886080,11927814144,1676,0,682,682,50,7.8,620290
1786085395,2000100,14240,83886080,11929911296,1676,0,689,689,38,7.8,621666
1786085405,2000544,14240,83886080,11934105600,1675,0,694,694,43,7.8,617941
1786085415,2000524,14240,83886080,11935154176,1675,0,702,702,34,7.8,624477
1786085425,2000584,14240,83886080,11938308096,1675,0,706,706,45,7.8,622602
1786085435,1999876,14240,83886080,11939360768,1675,0,714,714,32,7.9,619226
1786085445,1999668,14240,83886080,11942510592,1674,0,719,719,39,7.9,617933
1786085455,2000548,14240,83886080,11944607744,1674,0,723,723,50,7.9,619330
1786085465,2000132,14240,83886080,11946704896,1674,0,731,731,37,7.9,617920
1786085475,1998644,14240,83886080,11950907392,1674,0,736,735,49,7.9,617938
1786085486,2000716,14240,83886080,11951960064,1674,0,743,743,40,7.9,618483
1786085496,1999188,14240,83886080,11955109888,1674,0,751,751,30,7.9,620555
1786085506,1999792,14240,83886080,11958255616,1673,0,755,755,42,7.9,619898
1786085516,1999368,14240,83886080,11959304192,1673,0,761,761,44,7.9,621100
1786085526,2001436,14240,83886080,11961401344,1673,0,768,768,37,7.9,617962
1786085536,1999212,14240,83886080,11963498496,1673,0,773,773,46,7.9,624559
1786085546,2000972,14240,83886080,11963498496,1672,0,781,781,33,7.9,617918
1786085556,1998840,14240,83886080,11967700992,1672,0,785,785,45,7.9,617936
1786085566,2000952,14240,83886080,11967700992,1672,0,793,793,34,7.9,620535
1786085576,1999292,14240,83886080,11969802240,1672,0,793,793,54,7.9,617990
1786085587,1999232,14240,83886080,11971903488,1672,0,801,801,33,7.9,619392
1786085597,2001668,14240,83886080,11975049216,1671,0,805,805,44,7.9,620099
1786085607,1999656,14240,83886080,11976097792,1671,0,813,813,31,7.9,622686
1786085617,2000344,14240,83886080,11976097792,1671,0,813,813,52,7.9,617859
1786085627,2000468,14240,83886080,11980292096,1671,0,821,821,36,7.9,619602
1786085637,2000756,14240,83886080,11980292096,1671,0,825,825,47,7.9,617964
1786085647,1998412,14240,83886080,11984494592,1671,0,830,830,50,7.9,617974
1786085657,2003168,14240,83886080,11988697088,1670,0,838,838,35,7.9,617922
1786085667,2002080,14240,83886080,12009684992,1668,0,843,843,44,7.9,621772
1786085677,2000632,14240,83886080,12026478592,1666,0,850,850,39,7.9,619748
1786085687,2005696,14240,83886080,12047466496,1664,0,855,855,39,7.9,620826
1786085698,2000616,14240,83886080,12065308672,1661,0,862,862,37,7.9,619996
1786085708,2005692,14240,83886080,12086308864,1659,0,867,867,43,7.9,617931
1786085718,2000072,14240,83886080,12106244096,1657,0,873,873,41,7.9,620747
1786085728,2007716,14240,83886080,12131434496,1655,0,879,879,42,7.9,619078
1786085738,2001152,14240,83886080,12152430592,1653,0,887,887,33,7.9,617901
1786085748,1999592,14240,83886080,12165021696,1652,0,888,888,53,7.9,625774
1786085758,2008592,14240,83886080,12178669568,1651,0,892,892,59,7.9,621827
1786085768,2003604,14240,83886080,12200710144,1649,0,900,900,37,7.9,617901
1786085778,2006360,14240,83886080,12223807488,1647,0,905,905,44,7.9,629920
1786085788,2003720,14240,83886080,12241649664,1646,0,912,912,36,7.9,622069
1786085798,2006520,14240,83886080,12264734720,1644,0,918,918,40,7.9,619661
1786085808,2001096,14240,83886080,12282576896,1642,0,922,922,51,7.9,617924
1786085819,2003088,14240,83886080,12303572992,1641,0,930,930,35,7.9,617989
1786085829,2012780,14240,83886080,12327714816,1639,0,934,934,49,7.9,617916
1786085839,2003316,14240,83886080,12349751296,1637,0,942,942,36,7.9,620922
1786085849,2008024,14240,83886080,12369698816,1636,0,947,947,41,7.9,619189
1786085859,2003516,14240,83886080,12391743488,1634,0,954,954,36,7.9,617914
1786085869,2005232,14240,83886080,12411682816,1633,0,959,959,44,7.9,619985
1786085879,2002344,14240,83886080,12432670720,1631,0,967,967,35,7.9,627383
1786085889,2007980,14240,83886080,12456812544,1629,0,972,972,40,7.9,619498
1786085899,2003212,14240,83886080,12475711488,1628,0,979,979,37,7.9,617952
1786085910,2008752,14240,83886080,12499845120,1626,0,984,984,42,7.9,619874
1786085920,2001048,14240,83886080,12523986944,1625,0,992,992,33,7.9,617949
1786085930,2005492,14240,83886080,12541833216,1623,0,997,997,39,7.9,617911
1786085940,2002376,14240,83886080,12565970944,1622,0,1004,1004,35,7.9,618890
1786085950,2008952,14240,83886080,12589064192,1620,0,1009,1009,43,7.9,619238
1786085960,2000212,14240,83886080,12599558144,1620,0,1013,1013,50,7.9,618646
1786085970,2010568,14240,83886080,12613206016,1619,0,1017,1017,54,7.8,621869
1786085981,1999900,14240,83886080,12637347840,1617,0,1025,1025,34,7.8,623276
1786085991,2008944,14240,83886080,12662538240,1616,0,1029,1029,44,7.8,621496
1786086001,2008804,14240,83886080,12683526144,1614,0,1034,1034,46,7.8,618395
1786086011,2004780,14240,83886080,12704522240,1613,0,1041,1041,37,7.8,617942
1786086021,2009332,14240,83886080,12729712640,1611,0,1047,1047,40,7.8,622737
1786086031,2003048,14240,83886080,12750700544,1610,0,1054,1054,34,7.8,617916
1786086041,2008160,14240,83886080,12777992192,1608,0,1059,1059,41,7.8,618183
1786086051,2002880,14240,83886080,12801081344,1607,0,1064,1063,50,7.8,626099
1786086062,2002824,14240,83886080,12806332416,1606,0,1068,1068,45,7.8,618324
1786086072,2013840,14240,83886080,12834668544,1605,0,1072,1072,45,7.8,619224
1786086082,2001324,14240,83886080,12858810368,1604,0,1080,1080,32,7.8,618010
1786086092,2009744,14240,83886080,12885049344,1602,0,1085,1085,40,7.8,627041
1786086102,2002556,14240,83886080,12903989248,1601,0,1090,1090,44,7.8,618573
1786086112,2009048,14240,83886080,12932325376,1599,0,1097,1097,39,7.8,617949
1786086122,2001632,14240,83886080,12955426816,1598,0,1102,1102,46,7.8,618046
1786086132,2002136,14240,83886080,12978511872,1596,0,1110,1110,35,7.8,619118
1786086143,2013712,14240,83886080,13006848000,1595,0,1114,1114,47,7.8,619425
1786086153,2000532,14240,83886080,13027844096,1594,0,1119,1119,50,7.8,617951
1786086163,2007660,14240,83886080,13055139840,1592,0,1126,1126,39,7.8,619699
1786086173,2002588,14240,83886080,13080322048,1591,0,1132,1132,40,7.7,624737
1786086183,2000980,14240,83886080,13097115648,1590,0,1135,1135,52,7.7,621414
1786086193,2011644,14240,83886080,13110763520,1589,0,1139,1139,56,7.7,617948
1786086203,2001444,14240,83886080,13133856768,1588,0,1147,1147,33,7.7,618919
1786086213,2010892,14240,83886080,13163241472,1586,0,1151,1151,43,7.7,622689
1786086223,2013020,14240,83886080,13184229376,1585,0,1156,1156,48,7.7,618039
1786086234,2002712,14240,83886080,13211525120,1584,0,1164,1164,34,7.7,621073
1786086244,2015324,14240,83886080,13239861248,1582,0,1168,1168,45,7.7,618289
1786086254,2001636,14240,83886080,13262954496,1581,0,1173,1173,50,7.7,618010
1786086264,2012188,14240,83886080,13294444544,1580,0,1180,1180,41,7.7,619528
1786086274,2003220,14240,83886080,13328031744,1578,0,1185,1185,48,7.7,618032
1786086284,2003624,14240,83886080,13328031744,1578,0,1189,1189,43,7.7,618016
1786086294,2014432,14240,83886080,13365813248,1577,0,1193,1193,43,7.7,619190
1786086304,2004444,14240,83886080,13396254720,1575,0,1201,1201,35,7.7,622305
1786086314,2007368,14240,83886080,13425643520,1574,0,1205,1205,46,7.7,621375
1786086324,2007392,14240,83886080,13453975552,1572,0,1213,1213,35,7.7,619148
1786086334,2009352,14240,83886080,13485469696,1571,0,1219,1219,39,7.7,618047
1786086345,2004924,14240,83886080,13510660096,1570,0,1225,1225,39,7.7,622793
1786086355,2011632,14240,83886080,13543198720,1568,0,1231,1231,40,7.7,621848
1786086365,2002728,14240,83886080,13573640192,1567,0,1238,1238,35,7.7,619749
