unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786241252,3338044,14240,83886080,21191671808,1736,0,312,312,67,6.6,613334,2155872256,570425344,33554432,6291768
1786241262,3337284,14240,83886080,21192720384,1736,0,312,312,83,6.5,609740,2155872256,570425344,33554432,6816082
1786241272,3340688,14240,83886080,21199011840,1732,0,316,316,77,6.6,614230,2160066560,570425344,33554432,6816082
1786241282,3339260,14240,83886080,21203210240,1729,0,320,320,71,6.6,613273,2159017984,570425344,33554432,6816082
1786241292,3340072,14240,83886080,21208465408,1725,0,324,324,63,6.6,614903,2160066560,570425344,33554432,6816082
1786241303,3336676,14240,83886080,21212659712,1722,0,328,328,57,6.6,614945,2156920832,570425344,33554432,5243140
1786241313,3338164,14240,83886080,21216854016,1720,0,330,330,72,6.6,609776,2155872256,570425344,33554432,6816082
1786241323,3339668,14240,83886080,21225259008,1716,0,334,334,64,6.6,614315,2157969408,570425344,33554432,6816082
1786241333,3338996,14240,83886080,21233647616,1714,0,338,338,59,6.6,611698,2157969408,570425344,33554432,5767454
1786241343,3340596,14240,83886080,21241004032,1711,0,340,340,74,6.6,610625,2160066560,570425344,33554432,6816082
1786241353,3341188,14240,83886080,21248344064,1708,0,344,344,67,6.6,611458,2160066560,570425344,33554432,6816082
1786241363,3342240,14240,83886080,21258846208,1705,0,348,348,62,6.6,613639,2161115136,570425344,33554432,6816082
1786241373,3340104,14240,83886080,21268283392,1703,0,352,352,56,6.6,620946,2157969408,570425344,33554432,5243140
1786241383,3345648,14240,83886080,21284028416,1701,0,354,354,66,6.6,622881,2163212288,570425344,33554432,6816082
1786241393,3344264,14240,83886080,21300822016,1699,0,356,356,81,6.6,617909,2162163712,570425344,33554432,6816082
1786241404,3351212,14240,83886080,21318664192,1697,0,360,360,76,6.7,618555,2169503744,570425344,33554432,6816082
1786241414,3345752,14240,83886080,21330214912,1695,0,364,364,70,6.7,619534,2163212288,570425344,33554432,6816082
1786241424,3342012,14240,83886080,21347008512,1693,0,368,368,59,6.7,620180,2160066560,570425344,33554432,6816082
