unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786694516,3308052,14240,83886080,19934248960,1916,0,132,132,69,7.2,583227,2164260864,570425344,33554432,6816082,167463,18992,0,87074072,21978152960,0
1786694526,3299636,14240,83886080,19946831872,1916,0,132,132,96,7.1,579113,2155872256,570425344,33554432,6816082,190882,19004,0,99350344,21978152960,0
1786694536,3298192,14240,83886080,19951042560,1916,0,133,133,107,7.1,588079,2155872256,570425344,33554432,6816082,196234,19008,0,102069904,21978152960,0
1786694547,3311268,14240,83886080,19966787584,1915,0,137,137,82,7.1,586828,2169503744,570425344,33554432,6816082,225622,19023,0,117558296,21978152960,0
1786694557,3297944,14240,83886080,19967836160,1915,0,137,137,97,7.0,582585,2155872256,570425344,33554432,6816082,227514,19024,0,118504640,21978152960,0
1786694569,3300336,14240,83886080,19967836160,1915,0,141,141,63,6.9,579079,2155872256,570425344,33554432,6816082,232470,19024,0,120952768,21978152960,0
1786694579,3298940,14240,83886080,19984629760,1914,0,142,142,78,6.9,579111,2155872256,570425344,33554432,6816082,261784,19040,0,136307016,21978152960,0
1786694589,3300176,14240,83886080,19984629760,1914,0,143,142,97,6.9,581346,2155872256,570425344,33554432,5243140,264281,19040,0,137564616,21978152960,0
1786694600,3298832,14240,83886080,19988824064,1914,0,146,146,68,6.8,579057,2156920832,570425344,33554432,6291768,267722,19044,0,139331544,21978152960,0
1786694610,3300156,14240,83886080,19993018368,1913,0,149,149,53,6.8,583968,2155872256,570425344,33554432,6816082,280535,19048,0,145937088,21978152960,0
1786694620,3298504,14240,83886080,19997229056,1913,0,150,150,63,6.8,579138,2155872256,570425344,33554432,6291768,285387,19052,0,148484776,21978152960,0
1786694630,3306000,14240,83886080,20009811968,1912,0,153,153,70,6.9,581361,2162163712,570425344,33554432,6816082,311940,19064,0,162402216,21978152960,0
1786694640,3309512,14240,83886080,20026605568,1911,0,157,157,63,6.9,579094,2166358016,570425344,33554432,6816082,342935,19080,0,178736344,21978152960,0
1786694650,3298796,14240,83886080,20035010560,1911,0,157,157,87,6.9,578990,2155872256,570425344,33554432,6816082,357993,19088,0,186496784,21978152960,0
1786694661,3300252,14240,83886080,20035010560,1911,0,157,157,95,6.8,579028,2155872256,570425344,33554432,6816082,360949,19088,0,187989136,21978152960,0
1786694671,3306700,14240,83886080,20047609856,1910,0,161,161,82,6.8,583069,2164260864,570425344,33554432,6816082,381633,19100,0,198767816,21978152960,0
1786694681,3298956,14240,83886080,20050755584,1910,0,161,161,100,6.8,591098,2155872256,570425344,33554432,6816082,386558,19103,0,201324936,21978152960,0
1786694691,3319684,14240,83886080,20072792064,1908,0,165,165,80,6.8,581770,2176843776,570425344,33554432,6816082,431052,19124,0,224762408,21978152960,0
1786694701,3299664,14240,83886080,20081197056,1908,0,165,165,104,6.8,585626,2155872256,570425344,33554432,6816082,447729,19132,0,233512160,21978152960,0
1786694712,3300312,14240,83886080,20081197056,1908,0,165,165,112,6.7,583417,2155872256,570425344,33554432,6816082,449042,19132,0,234187072,21978152960,0
1786694722,3298512,14240,83886080,20085391360,1908,0,169,169,80,6.7,581615,2155872256,570425344,33554432,4194512,453881,19136,0,236619480,21978152960,0
1786694732,3309924,14240,83886080,20096925696,1907,0,169,169,109,6.7,579171,2167406592,570425344,33554432,6816082,476080,19147,0,248209312,21978152960,0
1786694742,3299772,14240,83886080,20097974272,1907,0,169,169,129,6.6,584061,2155872256,570425344,33554432,6816082,480336,19148,0,250397536,21978152960,0
1786694752,3305044,14240,83886080,20109524992,1906,0,173,173,84,6.7,579086,2163212288,570425344,33554432,6816082,498941,19159,0,259990928,21978152960,0
1786694763,3300016,14240,83886080,20109524992,1906,0,173,173,97,6.6,581439,2155872256,570425344,33554432,6816082,500941,19159,0,261021112,21978152960,0
1786694773,3300532,14240,83886080,20110573568,1906,0,173,173,113,6.6,580411,2155872256,570425344,33554432,6816082,504042,19160,0,262601496,21978152960,0
1786694783,3299392,14240,83886080,20113719296,1906,0,175,175,101,6.6,588276,2155872256,570425344,33554432,6291768,507743,19163,0,264572784,21978152960,0
1786694793,3308632,14240,83886080,20128419840,1904,0,177,177,103,6.6,579132,2164260864,570425344,33554432,6816082,538061,19177,0,280328416,21978152960,0
1786694803,3301512,14240,83886080,20130525184,1904,0,178,178,108,6.6,585174,2156920832,570425344,33554432,6816082,542291,19179,0,282473672,21978152960,0
1786694814,3306520,14240,83886080,20139966464,1904,0,182,182,70,6.6,579055,2162163712,570425344,33554432,6816082,559936,19188,0,291906720,21978152960,0
1786694824,3299840,14240,83886080,20144160768,1903,0,182,182,96,6.6,580969,2155872256,570425344,33554432,6816082,566692,19192,0,295455248,21978152960,0
1786694834,3299024,14240,83886080,20147318784,1903,0,183,182,112,6.5,579139,2155872256,570425344,33554432,5243140,571031,19195,0,297753512,21978152960,0
1786694844,3302988,14240,83886080,20151517184,1903,0,186,186,72,6.5,580761,2159017984,570425344,33554432,6816082,581222,19199,0,303041720,21978152960,0
1786694855,3299712,14240,83886080,20172505088,1902,0,186,186,100,6.5,579449,2155872256,570425344,33554432,6816082,620390,19219,0,323622344,21978152960,0
1786694865,3300448,14240,83886080,20174602240,1901,0,186,186,119,6.5,579002,2155872256,570425344,33554432,6816082,625746,19221,0,326470808,21978152960,0
1786694875,3310148,14240,83886080,20186152960,1900,0,190,190,82,6.5,580769,2165309440,570425344,33554432,6816082,648815,19232,0,338568920,21978152960,0
1786694885,3300148,14240,83886080,20197687296,1900,0,190,190,106,6.5,580079,2155872256,570425344,33554432,6816082,669196,19243,0,349232320,21978152960,0
1786694895,3300632,14240,83886080,20197687296,1900,0,190,190,113,6.4,590623,2155872256,570425344,33554432,6816082,670174,19243,0,349730120,21978152960,0
1786694906,3300548,14240,83886080,20200841216,1900,0,192,191,119,6.4,581414,2155872256,570425344,33554432,4718826,674107,19246,0,351768480,21978152960,0
1786694916,3303788,14240,83886080,20206092288,1899,0,194,194,102,6.4,578985,2160066560,570425344,33554432,6816082,684388,19251,0,357157296,21978152960,0
1786694926,3299988,14240,83886080,20207140864,1899,0,194,194,113,6.4,579036,2155872256,570425344,33554432,6816082,687073,19252,0,358505024,21978152960,0
1786694936,3298824,14240,83886080,20210286592,1899,0,195,195,116,6.4,580688,2155872256,570425344,33554432,5243140,690918,19255,0,360467928,21978152960,0
1786694946,3305612,14240,83886080,20215545856,1898,0,198,198,79,6.3,580090,2161115136,570425344,33554432,6816082,704181,19260,0,367431888,21978152960,0
1786694956,3301240,14240,83886080,20223934464,1898,0,199,199,91,6.3,584148,2156920832,570425344,33554432,6816082,719562,19268,0,375518256,21978152960,0
1786694966,3299264,14240,83886080,20227080192,1898,0,199,199,109,6.3,579080,2155872256,570425344,33554432,6816082,723814,19271,0,377685520,21978152960,0
1786694976,3299948,14240,83886080,20227080192,1898,0,200,200,99,6.3,585971,2155872256,570425344,33554432,6816082,725161,19271,0,378393968,21978152960,0
1786694987,3306460,14240,83886080,20239679488,1897,0,203,203,89,6.3,579338,2163212288,570425344,33554432,6816082,747847,19283,0,390301344,21978152960,0
1786694997,3301588,14240,83886080,20243873792,1896,0,207,207,58,6.3,582475,2157969408,570425344,33554432,6816082,756515,19287,0,394756392,21978152960,0
1786695008,3300476,14240,83886080,20248080384,1896,0,209,208,74,6.3,579063,2156920832,570425344,33554432,5243140,764310,19291,0,398851976,21978152960,0
1786695018,3308104,14240,83886080,20256473088,1895,0,212,212,62,6.3,579092,2163212288,570425344,33554432,6816082,783506,19299,0,408874000,21978152960,0
1786695028,3299192,14240,83886080,20264861696,1895,0,213,213,73,6.3,579025,2155872256,570425344,33554432,6816082,795904,19307,0,415366360,21978152960,0
1786695038,3309124,14240,83886080,20281655296,1893,0,217,217,69,6.3,584017,2165309440,570425344,33554432,6816082,829356,19323,0,432886824,21978152960,0
1786695048,3300268,14240,83886080,20282703872,1893,0,217,217,85,6.3,579162,2155872256,570425344,33554432,6816082,832087,19324,0,434295336,21978152960,0
1786695059,3305028,14240,83886080,20291108864,1893,0,221,221,60,6.2,580681,2161115136,570425344,33554432,6816082,847711,19332,0,442385896,21978152960,0
1786695069,3300896,14240,83886080,20311048192,1891,0,221,221,90,6.3,587091,2155872256,570425344,33554432,6816082,887450,19351,0,463244240,21978152960,0
1786695079,3301988,14240,83886080,20317356032,1890,0,225,225,66,6.3,581051,2157969408,570425344,33554432,6816082,897623,19357,0,468567032,21978152960,0
