# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cpu_core/cycles/P'
# Event count (approx.): 17180652278
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8749
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fc4317
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fc42fb
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80da482
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa932d0b9
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d851a
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa817b561
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa1d4
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80da4c9
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa817744f
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a3f79
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7261
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8176c92
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa92fb596
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8008291
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d801b
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80db9cb
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bcdb7
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d854c
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa189
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7109
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81773b8
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80f5b43
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fc433d
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a3fb3
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8596
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80daafc
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa809be2e
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a3fc7
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b71c2
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b71d7
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7200
