# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_atom/cycles/P'
# Event count (approx.): 11125123391
#
# Overhead  Command  Shared Object     Symbol                                                                                                     
# ........  .......  ................  ...........................................................................................................
#
     0.37%  cell-3   infinityd         [.] inf_wire::parser::parse_count_line
     0.37%  cell-1   libc.so.6         [.] unlink_chunk.isra.0
     0.37%  cell-2   infinityd         [.] inf_server::plane::send_apply::{{closure}}
     0.36%  cell-3   libc.so.6         [.] cfree@GLIBC_2.2.5
     0.36%  cell-1   infinityd         [.] inf_wire::parser::FrameIter::next
     0.35%  cell-3   libc.so.6         [.] malloc
     0.34%  cell-1   infinityd         [.] inf_wire::parser::parse_count_line
     0.34%  cell-3   infinityd         [.] inf_server::plane::handle_fabric_op
     0.33%  cell-0   infinityd         [.] inf_server::plane::dispatch_one::{{closure}}::{{closure}}
     0.32%  cell-3   infinityd         [.] <inf_server::plane::ServerPlane<O> as inf_runtime::reactor::CellPlane>::parse_execute
     0.32%  cell-1   infinityd         [.] core::hash::BuildHasher::hash_one
     0.32%  cell-0   libc.so.6         [.] realloc
     0.31%  cell-3   libc.so.6         [.] realloc


#
# (Cannot load tips.txt file, please install perf!)
#
